sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
Male,30,25 - 45,Hispanic,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,7
Male,49,Greater than 45,African-American,0,0,0,4,1,M,Battery,1
Male,53,Greater than 45,Caucasian,0,0,0,8,13,F,arrest case no charge,5
Male,35,25 - 45,African-American,0,0,0,5,1,F,Driving While License Revoked,3
Male,63,Greater than 45,African-American,0,0,0,10,906,M,Possess Drug Paraphernalia,7
Male,27,25 - 45,African-American,1,1,2,15,1,F,Driving While License Revoked,10
Male,38,25 - 45,Caucasian,0,0,0,4,1,M,Battery,2
Male,22,Less than 25,African-American,0,0,1,1,1,F,Poss Firearm W/Altered ID#,4
Male,22,Less than 25,African-American,0,1,2,2,114,F,Sell Conterfeit Cont Substance,10
Male,29,25 - 45,African-American,0,0,0,4,1,F,arrest case no charge,9
Male,62,Greater than 45,Hispanic,0,0,0,0,1,M,Unlaw LicTag/Sticker Attach,1
Male,27,25 - 45,African-American,0,1,0,6,0,F,Aggravated Battery / Pregnant,6
Male,33,25 - 45,Other,0,0,0,0,1,M,Battery,1
Female,56,Greater than 45,African-American,0,0,0,0,1,M,Battery,1
Male,45,Greater than 45,Hispanic,0,0,0,6,1,F,Possession of Cocaine,1
Male,22,Less than 25,Hispanic,0,0,0,1,1,F,Burglary Structure Unoccup,4
Male,39,25 - 45,African-American,0,0,0,1,1,M,arrest case no charge,4
Male,29,25 - 45,African-American,0,0,0,5,0,F,False Name By Person Arrest,6
Male,27,25 - 45,Caucasian,0,0,1,1,1,F,arrest case no charge,6
Male,40,25 - 45,African-American,0,0,0,2,15,F,arrest case no charge,2
Male,22,Less than 25,African-American,0,0,0,1,1,M,Battery,3
Male,22,Less than 25,Caucasian,0,0,0,0,1,F,Grand Theft in the 3rd Degree,8
Female,26,25 - 45,African-American,0,0,0,1,1,F,Poss Cocaine/Intent To Del/Sel,4
Male,27,25 - 45,Caucasian,0,0,0,1,44,F,Burglary Dwelling Assault/Batt,7
Male,32,25 - 45,African-American,0,0,0,0,1,F,Felony Battery (Dom Strang),2
Male,41,25 - 45,African-American,0,0,0,1,5185,M,arrest case no charge,2
Male,30,25 - 45,African-American,0,0,0,8,1,M,Possess Cannabis/20 Grams Or Less,10
Male,50,Greater than 45,Other,0,0,0,0,1,F,arrest case no charge,1
Male,25,25 - 45,African-American,1,6,1,14,1,F,arrest case no charge,10
Male,20,Less than 25,Other,0,0,0,0,1,F,Tampering With Physical Evidence,5
Male,22,Less than 25,African-American,1,0,0,2,0,F,Attempted Burg/struct/unocc,9
Male,23,Less than 25,African-American,0,0,1,2,192,M,arrest case no charge,7
Female,35,25 - 45,African-American,0,0,0,1,1,M,arrest case no charge,2
Male,36,25 - 45,African-American,0,0,0,9,1,F,Deliver Cocaine,7
Male,26,25 - 45,Caucasian,0,0,0,7,1,F,Possession Burglary Tools,8
Male,21,Less than 25,Other,0,0,0,1,1,F,Grand Theft in the 3rd Degree,6
Male,25,25 - 45,Caucasian,0,0,0,9,1,F,Pos Cannabis W/Intent Sel/Del,8
Male,71,Greater than 45,African-American,0,0,0,12,804,M,Possess Cannabis/20 Grams Or Less,7
Female,20,Less than 25,Caucasian,0,0,0,0,1,F,"Poss3,4 Methylenedioxymethcath",7
Male,39,25 - 45,Caucasian,0,0,0,2,3,F,Possession Of Alprazolam,1
Male,66,Greater than 45,Caucasian,0,0,0,3,64,F,Flee/Elude LEO-Agg Flee Unsafe,1
Female,54,Greater than 45,Caucasian,0,0,0,0,1,M,DUI Level 0.15 Or Minor In Veh,1
Female,44,25 - 45,Hispanic,0,0,0,0,2,M,Battery,1
Male,19,Less than 25,African-American,0,0,0,1,10,M,Battery,4
Male,24,Less than 25,African-American,0,0,0,1,137,F,arrest case no charge,2
Male,30,25 - 45,African-American,0,0,0,1,1,F,Fail To Redeliv Hire/Leas Prop,2
Female,39,25 - 45,Caucasian,0,0,0,0,1,F,Aggravated Assault W/Dead Weap,1
Male,24,Less than 25,Caucasian,0,1,2,8,0,F,False Ownership Info/Pawn Item,6
Male,30,25 - 45,Caucasian,0,0,0,0,1,F,Possession Of Methamphetamine,4
Male,31,25 - 45,Caucasian,0,0,0,0,1,M,Battery,5
Female,39,25 - 45,Caucasian,0,0,0,1,1,F,Possession of Morphine,4
Male,59,Greater than 45,African-American,0,0,0,14,265,F,arrest case no charge,9
Male,43,25 - 45,Caucasian,0,0,0,1,30,F,Possession of Cocaine,1
Male,21,Less than 25,African-American,0,0,0,3,1,F,Grand Theft in the 3rd Degree,9
Male,38,25 - 45,Caucasian,0,0,0,5,1,M,Possess Cannabis/20 Grams Or Less,4
Male,34,25 - 45,Caucasian,0,0,0,0,0,F,Aggravated Assault w/Firearm,5
Male,33,25 - 45,African-American,0,0,0,5,1,F,Poss Contr Subst W/o Prescript,5
Male,37,25 - 45,African-American,0,0,0,3,0,F,"Poss3,4 Methylenedioxymethcath",2
Male,42,25 - 45,Caucasian,0,0,0,1,1,F,Aggrav Stalking After Injunctn,2
Male,41,25 - 45,African-American,0,1,0,10,0,F,Possession of Cocaine,9
Male,22,Less than 25,African-American,0,0,0,0,1,F,Uttering a Forged Instrument,4
Male,33,25 - 45,African-American,0,12,2,28,1,F,Driving While License Revoked,8
Male,31,25 - 45,African-American,0,0,0,1,1,M,Battery,7
Female,30,25 - 45,Other,0,0,0,1,1,F,Crim Use of Personal ID Info,2
Male,31,25 - 45,Caucasian,0,0,0,13,0,F,arrest case no charge,10
Male,27,25 - 45,African-American,0,0,0,3,1,F,Possession of Cocaine,9
Male,56,Greater than 45,African-American,0,0,0,8,79,F,arrest case no charge,9
Male,52,Greater than 45,Caucasian,0,0,0,3,2,M,Battery,9
Male,33,25 - 45,African-American,0,0,0,19,1,F,arrest case no charge,10
Female,64,Greater than 45,Caucasian,0,0,0,2,48,M,Resist/Obstruct W/O Violence,1
Male,22,Less than 25,Caucasian,0,0,0,4,36,F,Possession Of Alprazolam,6
Male,42,25 - 45,Caucasian,0,0,0,6,5,F,Possession Of Alprazolam,3
Female,25,25 - 45,Caucasian,0,0,0,2,1,F,arrest case no charge,4
Male,30,25 - 45,Caucasian,0,0,0,1,20,M,Agg Fleeing and Eluding,2
Male,28,25 - 45,Caucasian,0,0,0,2,161,F,arrest case no charge,1
Female,37,25 - 45,Other,0,0,0,2,222,M,Petit Theft,2
Male,28,25 - 45,Caucasian,0,0,0,0,1,M,Disorderly Intoxication,2
Female,24,Less than 25,African-American,0,0,0,0,1,M,Battery,2
Female,29,25 - 45,Caucasian,0,1,0,10,1,F,Grand Theft in the 3rd Degree,4
Male,44,25 - 45,Caucasian,0,0,0,2,1,M,Battery,2
Female,30,25 - 45,Hispanic,0,0,0,4,36,F,Battery on Law Enforc Officer,5
Male,32,25 - 45,African-American,0,0,0,3,1,F,Possession of Cocaine,7
Male,31,25 - 45,Caucasian,0,0,0,2,16,M,Resist/Obstruct W/O Violence,3
Male,31,25 - 45,African-American,0,0,0,1,1,M,Lewdness Violation,2
Male,59,Greater than 45,Caucasian,0,0,0,1,1,F,Possession of Cocaine,2
Female,45,Greater than 45,Caucasian,0,0,0,4,375,F,arrest case no charge,4
Female,20,Less than 25,African-American,1,0,0,1,0,F,arrest case no charge,10
Female,43,25 - 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,38,25 - 45,African-American,1,1,0,9,1,F,Possession of Cocaine,8
Male,32,25 - 45,African-American,0,0,0,11,2,F,Poss Pyrrolidinovalerophenone,6
Male,33,25 - 45,African-American,0,0,0,8,1,M,Assault,5
Female,31,25 - 45,African-American,0,0,0,0,1,F,Possession of Oxycodone,3
Female,33,25 - 45,African-American,0,0,0,7,1,F,Possession of Cocaine,9
Male,27,25 - 45,African-American,0,0,0,2,1,F,Tampering With Physical Evidence,9
Female,20,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,6
Female,26,25 - 45,Caucasian,0,0,0,0,2,M,Fail To Obey Police Officer,6
Female,61,Greater than 45,African-American,0,0,0,1,1,F,Solicit Purchase Cocaine,1
Male,52,Greater than 45,Other,0,0,0,13,1,F,Felony Petit Theft,7
Male,63,Greater than 45,Hispanic,0,0,0,1,26,F,arrest case no charge,1
Female,32,25 - 45,African-American,0,0,0,4,7,F,arrest case no charge,10
Male,29,25 - 45,Hispanic,0,0,0,1,1,F,Grand Theft in the 3rd Degree,4
Female,46,Greater than 45,Other,0,0,0,1,72,F,Grand Theft in the 1st Degree,2
Female,26,25 - 45,African-American,0,0,0,2,1,M,Driving Under The Influence,4
Male,55,Greater than 45,African-American,0,0,0,3,52,M,Battery,1
Male,39,25 - 45,Caucasian,1,0,0,1,1672,M,,4
Female,30,25 - 45,Caucasian,0,0,0,3,1,F,Possession Of Carisoprodol,7
Male,30,25 - 45,African-American,0,0,0,1,1,F,Burglary Conveyance Assault/Bat,7
Male,48,Greater than 45,Caucasian,0,0,0,2,1,M,Battery,2
Male,22,Less than 25,African-American,0,0,0,1,1,F,arrest case no charge,2
Male,46,Greater than 45,Caucasian,0,0,0,6,31,F,Driving While License Revoked,1
Female,49,Greater than 45,Caucasian,0,0,0,6,56,F,Crim Use of Personal ID Info,6
Male,31,25 - 45,Caucasian,0,0,0,0,1,F,"Deliver 3,4 Methylenediox",5
Male,25,25 - 45,African-American,0,0,0,1,1,M,Battery,2
Male,23,Less than 25,Hispanic,0,0,0,0,2,F,"Poss3,4 Methylenedioxymethcath",3
Female,32,25 - 45,African-American,0,0,0,5,1,F,Aggravated Assault W/dead Weap,7
Male,52,Greater than 45,Hispanic,0,0,0,2,1,M,Leave Acc/Attend Veh/More $50,1
Male,62,Greater than 45,African-American,0,0,0,8,1,F,Possession of Cocaine,4
Female,37,25 - 45,Caucasian,0,0,0,6,111,F,Possession of Cocaine,10
Male,55,Greater than 45,Caucasian,0,0,0,1,45,F,Grand Theft in the 3rd Degree,1
Male,31,25 - 45,Hispanic,0,0,0,8,61,F,arrest case no charge,9
Male,28,25 - 45,African-American,0,0,0,6,1,M,Resist/Obstruct W/O Violence,6
Male,54,Greater than 45,Hispanic,0,0,0,2,1,F,Burglary Unoccupied Dwelling,1
Male,58,Greater than 45,Hispanic,0,0,0,0,1,F,Possession Of Heroin,2
Male,78,Greater than 45,Caucasian,0,0,0,1,1,M,Driving Under The Influence,1
Male,56,Greater than 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,1
Male,24,Less than 25,Other,0,0,0,0,1,F,Burglary Unoccupied Dwelling,2
Male,38,25 - 45,African-American,2,2,1,22,35,F,Child Abuse,8
Male,22,Less than 25,African-American,0,0,0,1,1,F,Pos Cannabis W/Intent Sel/Del,5
Male,47,Greater than 45,African-American,0,0,0,23,1,M,Possess Cannabis/20 Grams Or Less,8
Male,23,Less than 25,African-American,0,0,0,0,1,M,Battery,2
Male,57,Greater than 45,Hispanic,0,0,0,1,0,F,Driving While License Revoked,1
Female,38,25 - 45,Caucasian,0,0,0,2,35,F,Possession of Cocaine,5
Male,66,Greater than 45,African-American,0,0,0,3,10,F,Agg Battery Grt/Bod/Harm,1
Male,45,Greater than 45,Caucasian,0,0,0,8,0,M,Viol Injunct Domestic Violence,4
Female,52,Greater than 45,Other,0,0,0,0,,M,,3
Male,32,25 - 45,African-American,0,0,0,13,1,F,Poss Cocaine/Intent To Del/Sel,10
Male,37,25 - 45,African-American,0,0,0,2,0,M,Battery,9
Male,39,25 - 45,Caucasian,0,0,0,0,0,F,Possession Of Methamphetamine,4
Male,26,25 - 45,African-American,0,0,0,9,1,F,Deliver Cocaine,9
Male,45,Greater than 45,Caucasian,0,0,0,2,1,F,Lewd or Lascivious Molestation,3
Male,23,Less than 25,African-American,0,0,0,0,1,F,Possession of Cannabis,3
Male,34,25 - 45,African-American,0,0,0,2,1,M,Battery,2
Female,23,Less than 25,African-American,0,0,0,1,1,M,Battery,4
Male,36,25 - 45,Other,0,0,0,2,1,M,Battery,3
Male,50,Greater than 45,Caucasian,0,0,0,1,4,F,Sexual Performance by a Child,1
Female,37,25 - 45,Caucasian,0,0,0,0,1,M,Leaving Acc/Unattended Veh,3
Male,44,25 - 45,Caucasian,0,0,0,4,0,M,Battery,4
Female,35,25 - 45,African-American,0,1,0,23,1,F,Felony Petit Theft,9
Male,24,Less than 25,Other,0,0,0,5,1,F,arrest case no charge,5
Male,26,25 - 45,African-American,0,0,0,2,1,F,Fleeing Or Attmp Eluding A Leo,10
Male,27,25 - 45,African-American,0,0,0,0,1,M,Criminal Mischief,2
Female,28,25 - 45,African-American,0,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,8
Male,43,25 - 45,Caucasian,0,0,0,11,56,F,arrest case no charge,5
Female,28,25 - 45,Caucasian,0,0,0,7,1,F,Felony Petit Theft,9
Male,38,25 - 45,African-American,0,0,0,2,1,F,Driving While License Revoked,1
Male,27,25 - 45,Caucasian,0,0,0,2,36,M,Trespass Struct/Conveyance,4
Female,28,25 - 45,African-American,0,0,0,1,1,F,arrest case no charge,9
Male,56,Greater than 45,Caucasian,0,0,0,7,1,F,Felony Driving While Lic Suspd,1
Male,38,25 - 45,African-American,0,0,0,15,1,F,Possession of Cocaine,9
Male,28,25 - 45,African-American,0,0,0,2,2147,M,Possess Cannabis/20 Grams Or Less,5
Male,45,Greater than 45,African-American,0,0,0,3,23,F,arrest case no charge,6
Male,28,25 - 45,Hispanic,0,0,0,0,5,M,DUI Property Damage/Injury,2
Male,61,Greater than 45,Caucasian,0,0,0,1,34,F,arrest case no charge,1
Female,51,Greater than 45,Caucasian,0,0,0,0,1,M,Driving Under The Influence,1
Male,51,Greater than 45,Caucasian,0,0,0,0,1,M,Battery,2
Male,36,25 - 45,Other,0,0,0,1,1,M,Possess Cannabis/20 Grams Or Less,1
Male,48,Greater than 45,African-American,0,0,0,0,1,F,Aggravated Battery (Firearm/Actual Possession),1
Male,37,25 - 45,Caucasian,0,0,0,4,0,F,arrest case no charge,3
Female,30,25 - 45,African-American,0,0,0,2,1,F,Grand Theft in the 3rd Degree,7
Female,41,25 - 45,African-American,0,0,0,5,1,M,Battery,6
Male,27,25 - 45,African-American,0,0,0,11,1,F,Robbery / No Weapon,10
Male,37,25 - 45,African-American,0,0,0,0,1,M,Battery,1
Male,33,25 - 45,Other,0,0,0,4,1,F,Aggravated Assault w/Firearm,4
Male,54,Greater than 45,African-American,0,0,0,11,1,F,Grand Theft (Motor Vehicle),9
Male,23,Less than 25,African-American,0,0,0,2,1,F,Robbery / Weapon,9
Female,26,25 - 45,African-American,0,0,0,2,227,F,arrest case no charge,4
Male,41,25 - 45,African-American,0,0,0,0,0,M,Battery,1
Male,52,Greater than 45,Caucasian,0,0,0,0,1,F,Burglary With Assault/battery,1
Male,43,25 - 45,Caucasian,0,0,0,13,1,F,Driving While License Revoked,4
Male,52,Greater than 45,African-American,0,0,0,0,1,F,Uttering a Forged Instrument,4
Male,28,25 - 45,Caucasian,0,0,0,1,3,F,arrest case no charge,1
Male,30,25 - 45,African-American,0,0,2,11,1,M,Battery,9
Male,28,25 - 45,Caucasian,0,0,0,1,0,F,Criminal Mischief,5
Male,22,Less than 25,African-American,0,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,4
Male,30,25 - 45,African-American,0,0,0,4,0,F,Driving While License Revoked,2
Male,25,25 - 45,Hispanic,0,0,0,4,0,F,Possession of Cannabis,4
Male,31,25 - 45,Caucasian,0,0,0,0,1,F,Burglary Unoccupied Dwelling,8
Male,37,25 - 45,Caucasian,0,0,0,0,1,F,Grand Theft in the 3rd Degree,2
Male,32,25 - 45,African-American,0,1,0,14,1,F,Aggravated Battery / Pregnant,9
Male,26,25 - 45,African-American,0,1,0,4,1562,M,Possess Cannabis/20 Grams Or Less,8
Male,53,Greater than 45,Caucasian,0,0,0,1,1,M,Battery,1
Male,28,25 - 45,African-American,0,0,0,25,70,F,arrest case no charge,8
Male,44,25 - 45,Caucasian,0,0,0,8,1,M,Battery,5
Male,25,25 - 45,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,3
Male,22,Less than 25,Caucasian,0,0,1,1,0,M,Voyeurism,8
Female,37,25 - 45,Other,0,0,0,0,2,M,Battery,1
Female,40,25 - 45,Other,0,0,0,3,1,F,Driving While License Revoked,2
Male,36,25 - 45,Caucasian,0,0,0,8,0,F,Felony Driving While Lic Suspd,7
Male,30,25 - 45,Caucasian,0,0,0,4,140,F,False Imprisonment,2
Male,22,Less than 25,African-American,0,0,0,3,208,M,Prowling/Loitering,9
Female,24,Less than 25,Caucasian,0,0,0,1,32,M,Battery,7
Male,27,25 - 45,African-American,0,0,0,3,46,M,Viol Prot Injunc Repeat Viol,2
Female,31,25 - 45,Hispanic,0,0,0,0,1,M,Battery,2
Male,23,Less than 25,Hispanic,0,0,1,1,1,F,arrest case no charge,6
Female,23,Less than 25,Caucasian,0,0,4,5,1,F,arrest case no charge,5
Male,24,Less than 25,Hispanic,0,0,0,0,3,M,Possess Cannabis/20 Grams Or Less,8
Male,29,25 - 45,African-American,0,0,0,1,1,M,Battery,3
Male,20,Less than 25,African-American,0,0,0,1,1,F,Carrying Concealed Firearm,8
Male,30,25 - 45,African-American,0,0,0,2,1,F,Carrying Concealed Firearm,6
Male,39,25 - 45,Other,0,0,0,0,1,F,Throw In Occupied Dwell,1
Male,27,25 - 45,African-American,0,0,0,4,1,F,arrest case no charge,4
Male,31,25 - 45,Caucasian,0,0,0,2,1016,M,arrest case no charge,4
Female,37,25 - 45,African-American,0,0,0,2,0,F,arrest case no charge,1
Male,20,Less than 25,African-American,0,0,0,0,1,F,Possession Burglary Tools,8
Male,22,Less than 25,Hispanic,0,0,1,0,0,F,"Poss3,4 Methylenedioxymethcath",7
Female,52,Greater than 45,African-American,0,0,0,0,1,F,Burglary Conveyance Unoccup,1
Female,23,Less than 25,African-American,0,0,0,0,1,F,Carrying Concealed Firearm,4
Female,48,Greater than 45,African-American,0,0,0,0,1,F,Aggravated Assault W/Dead Weap,2
Male,66,Greater than 45,African-American,0,0,0,8,562,F,Deliver Cocaine,6
Male,25,25 - 45,Caucasian,0,0,0,0,1,F,"Deliver 3,4 Methylenediox",5
Male,27,25 - 45,Caucasian,0,0,0,0,1,F,Grand Theft in the 3rd Degree,6
Male,30,25 - 45,African-American,0,0,0,11,0,F,Unauth Poss ID Card or DL,7
Male,22,Less than 25,African-American,0,1,1,3,1,M,Battery,10
Female,22,Less than 25,Caucasian,0,0,0,1,1,F,Pos Cannabis W/Intent Sel/Del,3
Male,35,25 - 45,African-American,0,0,0,2,1,F,arrest case no charge,10
Male,32,25 - 45,Caucasian,0,0,0,2,232,F,arrest case no charge,4
Female,41,25 - 45,African-American,0,0,0,2,1,M,Battery on Law Enforc Officer,3
Female,25,25 - 45,Other,0,0,0,0,1,F,Aggravated Assault W/Dead Weap,2
Male,44,25 - 45,African-American,0,0,0,24,31,M,Opert With Susp DL 2nd Offens,7
Male,52,Greater than 45,African-American,0,0,0,3,1,F,Possession of Cocaine,6
Male,43,25 - 45,African-American,0,0,0,0,1,F,Felony Battery (Dom Strang),1
Male,37,25 - 45,Caucasian,0,0,0,3,4,F,arrest case no charge,1
Male,28,25 - 45,African-American,0,0,0,3,100,M,Possess Cannabis/20 Grams Or Less,4
Male,70,Greater than 45,Caucasian,0,0,0,1,13,M,Battery,1
Male,54,Greater than 45,Caucasian,0,0,0,6,322,F,Possession of Cocaine,2
Male,46,Greater than 45,Caucasian,0,0,0,3,1,F,arrest case no charge,4
Male,21,Less than 25,African-American,0,0,0,0,1,M,Petit Theft,9
Male,26,25 - 45,African-American,0,0,0,1,1,M,Battery,8
Male,38,25 - 45,Hispanic,0,0,0,3,82,F,Crim Use of Personal ID Info,1
Male,34,25 - 45,Caucasian,0,0,0,5,1,M,Battery,4
Male,19,Less than 25,African-American,0,0,0,1,48,F,Grand Theft in the 3rd Degree,5
Male,34,25 - 45,African-American,0,0,0,5,1,M,Driving License Suspended,4
Male,23,Less than 25,Caucasian,0,0,0,0,1,F,Aggravated Assault W/Dead Weap,5
Male,34,25 - 45,African-American,0,0,0,5,1,F,Possession of Oxycodone,4
Male,30,25 - 45,African-American,0,0,0,2,83,F,arrest case no charge,1
Male,39,25 - 45,African-American,0,0,0,6,1,F,Aggravated Battery / Pregnant,3
Male,24,Less than 25,Other,0,0,0,0,1,F,Failure To Return Hired Vehicle,3
Male,33,25 - 45,Caucasian,0,0,0,1,93,M,Driving Under The Influence,3
Male,58,Greater than 45,Caucasian,0,0,0,2,1,F,Agg Fleeing/Eluding High Speed,3
Female,21,Less than 25,African-American,0,0,0,0,0,M,Battery,6
Male,21,Less than 25,African-American,0,0,0,1,36,F,Attempted Robbery  No Weapon,5
Male,23,Less than 25,African-American,0,0,1,4,11,M,Possess Cannabis/20 Grams Or Less,8
Male,62,Greater than 45,Caucasian,0,0,0,0,0,F,False Imprisonment,1
Male,27,25 - 45,African-American,1,0,1,4,707,M,Possess Cannabis/20 Grams Or Less,8
Male,37,25 - 45,Caucasian,0,0,0,5,1,F,Battery on Law Enforc Officer,3
Male,43,25 - 45,Other,0,0,0,2,1,F,Grand Theft in the 3rd Degree,2
Female,32,25 - 45,African-American,0,0,0,5,2,F,Aggrav Battery w/Deadly Weapon,1
Male,23,Less than 25,Hispanic,0,0,0,0,1,F,Burglary Conveyance Unoccup,3
Male,27,25 - 45,African-American,0,0,0,0,1,M,Battery,1
Male,44,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,28,25 - 45,Caucasian,0,0,0,3,1,M,Battery,3
Female,42,25 - 45,Caucasian,0,0,0,0,3,F,Possession of Cocaine,2
Male,24,Less than 25,Other,0,1,0,9,1,F,Resist Officer w/Violence,10
Male,27,25 - 45,African-American,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,2
Male,20,Less than 25,African-American,0,0,0,0,1,F,Grand Theft (Motor Vehicle),10
Female,51,Greater than 45,Caucasian,0,0,0,0,1,M,Battery on Law Enforc Officer,1
Male,56,Greater than 45,Caucasian,0,0,0,0,1,M,Battery On Parking Enfor Speci,1
Male,29,25 - 45,African-American,0,0,0,7,1,F,arrest case no charge,9
Male,20,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,9
Male,53,Greater than 45,Caucasian,0,0,0,6,176,F,arrest case no charge,1
Male,27,25 - 45,Caucasian,0,0,0,8,1,F,arrest case no charge,5
Male,24,Less than 25,African-American,0,1,0,2,1,F,Burglary Structure Unoccup,9
Male,53,Greater than 45,Caucasian,0,0,0,36,7,F,Corrupt Public Servant,6
Male,28,25 - 45,Caucasian,0,0,0,2,1,M,Battery,3
Male,45,Greater than 45,African-American,0,0,0,1,1,F,Crim Use of Personal ID Info,1
Male,21,Less than 25,Hispanic,0,1,0,3,22,F,Grand Theft in the 3rd Degree,5
Female,36,25 - 45,African-American,0,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,7
