sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
1.0,55,1.0,2.0,0,0,0,0,1.0,0.0,436.0,0
1.0,49,1.0,5.0,0,0,0,7,0.0,0.0,6.0,0
1.0,26,0.0,2.0,0,0,2,6,275.0,1.0,243.0,1
0.0,33,0.0,2.0,0,0,0,4,1.0,1.0,44.0,1
1.0,24,2.0,2.0,0,0,0,1,0.0,1.0,44.0,0
1.0,34,0.0,0.0,2,1,3,21,0.0,0.0,275.0,1
1.0,29,0.0,2.0,0,0,0,0,1.0,1.0,287.0,0
0.0,21,2.0,0.0,0,0,0,2,1.0,0.0,436.0,1
1.0,51,1.0,0.0,0,0,0,2,1.0,1.0,415.0,0
1.0,29,0.0,2.0,0,0,0,2,1.0,1.0,428.0,0
0.0,51,1.0,0.0,0,0,0,7,1.0,0.0,318.0,0
1.0,29,0.0,0.0,0,0,0,0,0.0,0.0,115.0,1
1.0,25,0.0,2.0,0,0,0,9,1.0,1.0,44.0,1
1.0,35,0.0,0.0,1,0,4,13,1.0,0.0,426.0,1
1.0,49,1.0,2.0,0,0,0,0,0.0,1.0,105.0,0
1.0,34,0.0,0.0,0,0,0,4,59.0,1.0,139.0,0
1.0,29,0.0,0.0,0,0,0,0,1.0,0.0,383.0,0
1.0,29,0.0,2.0,0,0,0,1,24.0,0.0,326.0,0
0.0,28,0.0,5.0,0,0,0,0,1.0,0.0,194.0,0
1.0,48,1.0,2.0,0,0,0,20,326.0,0.0,436.0,1
0.0,63,1.0,3.0,0,0,0,1,193.0,0.0,436.0,0
1.0,31,0.0,0.0,0,0,1,15,1.0,0.0,36.0,1
1.0,24,2.0,0.0,0,0,0,2,1.0,0.0,271.0,0
1.0,30,0.0,3.0,0,0,0,0,0.0,1.0,287.0,1
1.0,49,1.0,0.0,0,0,0,4,1.0,1.0,44.0,0
1.0,53,1.0,2.0,0,0,0,8,13.0,0.0,436.0,1
1.0,35,0.0,0.0,0,0,0,5,1.0,0.0,141.0,0
1.0,63,1.0,0.0,0,0,0,10,381.0,1.0,290.0,1
1.0,27,0.0,0.0,1,1,2,15,1.0,0.0,141.0,1
1.0,38,0.0,2.0,0,0,0,4,1.0,1.0,44.0,0
1.0,22,2.0,0.0,0,0,1,1,1.0,0.0,261.0,0
1.0,22,2.0,0.0,0,1,2,2,112.0,0.0,357.0,1
1.0,29,0.0,0.0,0,0,0,4,1.0,0.0,436.0,1
1.0,62,1.0,3.0,0,0,0,0,1.0,1.0,414.0,0
1.0,27,0.0,0.0,0,1,0,6,0.0,0.0,21.0,1
1.0,33,0.0,5.0,0,0,0,0,1.0,1.0,44.0,0
0.0,56,1.0,0.0,0,0,0,0,1.0,1.0,44.0,0
1.0,45,1.0,3.0,0,0,0,6,1.0,0.0,318.0,0
1.0,22,2.0,3.0,0,0,0,1,1.0,0.0,64.0,0
1.0,39,0.0,0.0,0,0,0,1,1.0,1.0,436.0,0
1.0,29,0.0,0.0,0,0,0,5,0.0,0.0,164.0,1
1.0,27,0.0,2.0,0,0,1,1,1.0,0.0,436.0,1
1.0,40,0.0,0.0,0,0,0,2,15.0,0.0,436.0,0
1.0,22,2.0,0.0,0,0,0,1,1.0,1.0,44.0,0
1.0,22,2.0,2.0,0,0,0,0,1.0,0.0,194.0,1
0.0,26,0.0,0.0,0,0,0,1,1.0,0.0,256.0,0
1.0,27,0.0,2.0,0,0,0,1,44.0,0.0,60.0,1
1.0,32,0.0,0.0,0,0,0,0,1.0,0.0,171.0,0
1.0,41,0.0,0.0,0,0,0,1,493.0,1.0,436.0,0
1.0,30,0.0,0.0,0,0,0,8,1.0,1.0,287.0,1
1.0,50,1.0,5.0,0,0,0,0,1.0,0.0,436.0,0
1.0,25,0.0,0.0,1,6,1,14,1.0,0.0,436.0,1
1.0,20,2.0,5.0,0,0,0,0,1.0,0.0,383.0,1
1.0,22,2.0,0.0,1,0,0,2,0.0,0.0,39.0,1
1.0,23,2.0,0.0,0,0,1,2,176.0,1.0,436.0,1
0.0,35,0.0,0.0,0,0,0,1,1.0,1.0,436.0,0
1.0,36,0.0,0.0,0,0,0,9,1.0,0.0,125.0,1
1.0,26,0.0,2.0,0,0,0,7,1.0,0.0,296.0,1
1.0,21,2.0,5.0,0,0,0,1,1.0,0.0,194.0,1
1.0,25,0.0,2.0,0,0,0,9,1.0,0.0,250.0,1
1.0,71,1.0,0.0,0,0,0,12,368.0,1.0,287.0,1
0.0,20,2.0,2.0,0,0,0,0,1.0,0.0,284.0,1
1.0,39,0.0,2.0,0,0,0,2,3.0,0.0,300.0,0
1.0,66,1.0,2.0,0,0,0,3,64.0,0.0,180.0,0
0.0,54,1.0,2.0,0,0,0,0,1.0,1.0,105.0,0
0.0,44,0.0,3.0,0,0,0,0,2.0,1.0,44.0,0
1.0,19,2.0,0.0,0,0,0,1,10.0,1.0,44.0,0
1.0,24,2.0,0.0,0,0,0,1,133.0,0.0,436.0,0
1.0,30,0.0,0.0,0,0,0,1,1.0,0.0,154.0,0
0.0,39,0.0,2.0,0,0,0,0,1.0,0.0,14.0,0
1.0,24,2.0,2.0,0,1,2,8,0.0,0.0,165.0,1
1.0,30,0.0,2.0,0,0,0,0,1.0,0.0,311.0,0
1.0,31,0.0,2.0,0,0,0,0,1.0,1.0,44.0,1
0.0,39,0.0,2.0,0,0,0,1,1.0,0.0,325.0,0
1.0,59,1.0,0.0,0,0,0,14,223.0,0.0,436.0,1
1.0,43,0.0,2.0,0,0,0,1,30.0,0.0,318.0,0
1.0,21,2.0,0.0,0,0,0,3,1.0,0.0,194.0,1
1.0,38,0.0,2.0,0,0,0,5,1.0,1.0,287.0,0
1.0,34,0.0,2.0,0,0,0,0,0.0,0.0,17.0,1
1.0,33,0.0,0.0,0,0,0,5,1.0,0.0,257.0,1
1.0,37,0.0,0.0,0,0,0,3,0.0,0.0,284.0,0
1.0,42,0.0,2.0,0,0,0,1,1.0,0.0,12.0,0
1.0,41,0.0,0.0,0,1,0,10,0.0,0.0,318.0,1
1.0,22,2.0,0.0,0,0,0,0,1.0,0.0,426.0,0
1.0,33,0.0,0.0,0,12,2,28,1.0,0.0,141.0,1
1.0,31,0.0,0.0,0,0,0,1,1.0,1.0,44.0,1
0.0,30,0.0,5.0,0,0,0,1,1.0,0.0,90.0,0
1.0,31,0.0,2.0,0,0,0,13,0.0,0.0,436.0,1
1.0,27,0.0,0.0,0,0,0,3,1.0,0.0,318.0,1
1.0,56,1.0,0.0,0,0,0,8,79.0,0.0,436.0,1
1.0,52,1.0,2.0,0,0,0,3,2.0,1.0,44.0,1
1.0,33,0.0,0.0,0,0,0,19,1.0,0.0,436.0,1
0.0,64,1.0,2.0,0,0,0,2,48.0,1.0,342.0,0
1.0,22,2.0,2.0,0,0,0,4,36.0,0.0,300.0,1
1.0,42,0.0,2.0,0,0,0,6,5.0,0.0,300.0,0
0.0,25,0.0,2.0,0,0,0,2,1.0,0.0,436.0,0
1.0,30,0.0,2.0,0,0,0,1,20.0,1.0,6.0,0
1.0,28,0.0,2.0,0,0,0,2,150.0,0.0,436.0,0
0.0,37,0.0,5.0,0,0,0,2,195.0,1.0,247.0,0
1.0,28,0.0,2.0,0,0,0,0,1.0,1.0,136.0,0
0.0,24,2.0,0.0,0,0,0,0,1.0,1.0,44.0,0
0.0,29,0.0,2.0,0,1,0,10,1.0,0.0,194.0,0
1.0,44,0.0,2.0,0,0,0,2,1.0,1.0,44.0,0
0.0,30,0.0,3.0,0,0,0,4,36.0,0.0,50.0,1
1.0,32,0.0,0.0,0,0,0,3,1.0,0.0,318.0,1
1.0,31,0.0,2.0,0,0,0,2,16.0,1.0,342.0,0
1.0,31,0.0,0.0,0,0,0,1,1.0,1.0,219.0,0
1.0,59,1.0,2.0,0,0,0,1,1.0,0.0,318.0,0
0.0,45,1.0,2.0,0,0,0,4,272.0,0.0,436.0,0
0.0,20,2.0,0.0,1,0,0,1,0.0,0.0,436.0,1
0.0,43,0.0,2.0,0,0,0,0,0.0,1.0,105.0,0
1.0,38,0.0,0.0,1,1,0,9,1.0,0.0,318.0,1
1.0,32,0.0,0.0,0,0,0,11,2.0,0.0,268.0,1
1.0,33,0.0,0.0,0,0,0,8,1.0,1.0,30.0,1
0.0,31,0.0,0.0,0,0,0,0,1.0,0.0,326.0,0
0.0,33,0.0,0.0,0,0,0,7,1.0,0.0,318.0,1
1.0,27,0.0,0.0,0,0,0,2,1.0,0.0,383.0,1
0.0,20,2.0,0.0,0,0,0,0,1.0,0.0,194.0,1
0.0,26,0.0,2.0,0,0,0,0,2.0,1.0,153.0,1
0.0,61,1.0,0.0,0,0,0,1,1.0,0.0,370.0,0
1.0,52,1.0,5.0,0,0,0,13,1.0,0.0,177.0,1
1.0,63,1.0,3.0,0,0,0,1,26.0,0.0,436.0,0
0.0,32,0.0,0.0,0,0,0,4,7.0,0.0,436.0,1
1.0,29,0.0,3.0,0,0,0,1,1.0,0.0,194.0,0
0.0,46,1.0,5.0,0,0,0,1,72.0,0.0,193.0,0
0.0,26,0.0,0.0,0,0,0,2,1.0,1.0,140.0,0
1.0,55,1.0,0.0,0,0,0,3,52.0,1.0,44.0,0
1.0,39,0.0,2.0,1,0,0,1,451.0,1.0,,0
0.0,30,0.0,2.0,0,0,0,3,1.0,0.0,304.0,1
1.0,30,0.0,0.0,0,0,0,1,1.0,0.0,56.0,1
1.0,48,1.0,2.0,0,0,0,2,1.0,1.0,44.0,0
1.0,22,2.0,0.0,0,0,0,1,1.0,0.0,436.0,0
1.0,46,1.0,2.0,0,0,0,6,31.0,0.0,141.0,0
0.0,49,1.0,2.0,0,0,0,6,56.0,0.0,90.0,1
1.0,31,0.0,2.0,0,0,0,0,1.0,0.0,121.0,1
1.0,25,0.0,0.0,0,0,0,1,1.0,1.0,44.0,0
1.0,23,2.0,3.0,0,0,0,0,2.0,0.0,284.0,0
0.0,32,0.0,0.0,0,0,0,5,1.0,0.0,15.0,1
1.0,52,1.0,3.0,0,0,0,2,1.0,1.0,210.0,0
1.0,62,1.0,0.0,0,0,0,8,1.0,0.0,318.0,0
0.0,37,0.0,2.0,0,0,0,6,109.0,0.0,318.0,1
1.0,55,1.0,2.0,0,0,0,1,45.0,0.0,194.0,0
1.0,31,0.0,3.0,0,0,0,8,61.0,0.0,436.0,1
1.0,28,0.0,0.0,0,0,0,6,1.0,1.0,342.0,1
1.0,54,1.0,3.0,0,0,0,2,1.0,0.0,65.0,0
1.0,58,1.0,3.0,0,0,0,0,1.0,0.0,309.0,0
1.0,78,1.0,2.0,0,0,0,1,1.0,1.0,140.0,0
1.0,56,1.0,2.0,0,0,0,0,1.0,0.0,318.0,0
1.0,24,2.0,5.0,0,0,0,0,1.0,0.0,65.0,0
1.0,38,0.0,0.0,2,2,1,22,35.0,0.0,74.0,1
1.0,22,2.0,0.0,0,0,0,1,1.0,0.0,250.0,1
1.0,47,1.0,0.0,0,0,0,23,1.0,1.0,287.0,1
1.0,23,2.0,0.0,0,0,0,0,1.0,1.0,44.0,0
1.0,57,1.0,3.0,0,0,0,1,0.0,0.0,141.0,0
0.0,38,0.0,2.0,0,0,0,2,35.0,0.0,318.0,1
1.0,66,1.0,0.0,0,0,0,3,10.0,0.0,5.0,0
1.0,45,1.0,2.0,0,0,0,8,0.0,1.0,428.0,0
0.0,52,1.0,5.0,0,0,0,0,,1.0,,0
1.0,32,0.0,0.0,0,0,0,13,1.0,0.0,256.0,1
1.0,37,0.0,0.0,0,0,0,2,0.0,1.0,44.0,1
1.0,39,0.0,2.0,0,0,0,0,0.0,0.0,311.0,0
1.0,26,0.0,0.0,0,0,0,9,1.0,0.0,125.0,1
1.0,45,1.0,2.0,0,0,0,2,1.0,0.0,215.0,0
1.0,23,2.0,0.0,0,0,0,0,1.0,0.0,317.0,0
1.0,34,0.0,0.0,0,0,0,2,1.0,1.0,44.0,0
0.0,23,2.0,0.0,0,0,0,1,1.0,1.0,44.0,0
1.0,36,0.0,5.0,0,0,0,2,1.0,1.0,44.0,0
1.0,50,1.0,2.0,0,0,0,1,4.0,0.0,364.0,0
0.0,37,0.0,2.0,0,0,0,0,1.0,1.0,212.0,0
1.0,44,0.0,2.0,0,0,0,4,0.0,1.0,44.0,0
0.0,35,0.0,0.0,0,1,0,23,1.0,0.0,177.0,1
1.0,24,2.0,5.0,0,0,0,5,1.0,0.0,436.0,1
1.0,26,0.0,0.0,0,0,0,2,1.0,0.0,181.0,1
1.0,27,0.0,0.0,0,0,0,0,1.0,1.0,93.0,0
0.0,28,0.0,0.0,0,0,0,0,1.0,0.0,9.0,1
1.0,43,0.0,2.0,0,0,0,11,56.0,0.0,436.0,1
0.0,28,0.0,2.0,0,0,0,7,1.0,0.0,177.0,1
1.0,38,0.0,0.0,0,0,0,2,1.0,0.0,141.0,0
1.0,27,0.0,2.0,0,0,0,2,36.0,1.0,402.0,0
0.0,28,0.0,0.0,0,0,0,1,1.0,0.0,436.0,1
1.0,56,1.0,2.0,0,0,0,7,1.0,0.0,176.0,0
1.0,38,0.0,0.0,0,0,0,15,1.0,0.0,318.0,1
1.0,28,0.0,0.0,0,0,0,2,466.0,1.0,287.0,1
1.0,45,1.0,0.0,0,0,0,3,23.0,0.0,436.0,1
1.0,28,0.0,3.0,0,0,0,0,5.0,1.0,106.0,0
1.0,61,1.0,2.0,0,0,0,1,34.0,0.0,436.0,0
0.0,51,1.0,2.0,0,0,0,0,1.0,1.0,140.0,0
1.0,51,1.0,2.0,0,0,0,0,1.0,1.0,44.0,0
1.0,36,0.0,5.0,0,0,0,1,1.0,1.0,287.0,0
1.0,48,1.0,0.0,0,0,0,0,1.0,0.0,20.0,0
1.0,37,0.0,2.0,0,0,0,4,0.0,0.0,436.0,0
0.0,30,0.0,0.0,0,0,0,2,1.0,0.0,194.0,1
0.0,41,0.0,0.0,0,0,0,5,1.0,1.0,44.0,1
1.0,27,0.0,0.0,0,0,0,11,1.0,0.0,347.0,1
1.0,37,0.0,0.0,0,0,0,0,1.0,1.0,44.0,0
1.0,33,0.0,5.0,0,0,0,4,1.0,0.0,17.0,0
1.0,54,1.0,0.0,0,0,0,11,1.0,0.0,188.0,1
1.0,23,2.0,0.0,0,0,0,2,1.0,0.0,348.0,1
0.0,26,0.0,0.0,0,0,0,2,197.0,0.0,436.0,0
1.0,41,0.0,0.0,0,0,0,0,0.0,1.0,44.0,0
1.0,52,1.0,2.0,0,0,0,0,1.0,0.0,66.0,0
1.0,43,0.0,2.0,0,0,0,13,1.0,0.0,141.0,0
1.0,52,1.0,0.0,0,0,0,0,1.0,0.0,426.0,0
1.0,28,0.0,2.0,0,0,0,1,3.0,0.0,436.0,0
1.0,30,0.0,0.0,0,0,2,11,1.0,1.0,44.0,1
1.0,28,0.0,2.0,0,0,0,1,0.0,0.0,93.0,1
1.0,22,2.0,0.0,0,0,0,0,1.0,0.0,250.0,0
1.0,30,0.0,0.0,0,0,0,4,0.0,0.0,141.0,0
1.0,25,0.0,3.0,0,0,0,4,0.0,0.0,317.0,0
1.0,31,0.0,2.0,0,0,0,0,1.0,0.0,65.0,1
1.0,37,0.0,2.0,0,0,0,0,1.0,0.0,194.0,0
1.0,32,0.0,0.0,0,1,0,14,1.0,0.0,21.0,1
1.0,26,0.0,0.0,0,1,0,4,445.0,1.0,287.0,1
1.0,53,1.0,2.0,0,0,0,1,1.0,1.0,44.0,0
1.0,28,0.0,0.0,0,0,0,25,70.0,0.0,436.0,1
1.0,44,0.0,2.0,0,0,0,8,1.0,1.0,44.0,1
1.0,25,0.0,0.0,0,0,0,0,1.0,0.0,194.0,0
1.0,22,2.0,2.0,0,0,1,1,0.0,1.0,435.0,1
0.0,37,0.0,5.0,0,0,0,0,2.0,1.0,44.0,0
0.0,40,0.0,5.0,0,0,0,3,1.0,0.0,141.0,0
1.0,36,0.0,2.0,0,0,0,8,0.0,0.0,176.0,1
1.0,30,0.0,2.0,0,0,0,4,135.0,0.0,161.0,0
1.0,22,2.0,0.0,0,0,0,3,186.0,1.0,333.0,1
0.0,24,2.0,2.0,0,0,0,1,32.0,1.0,44.0,1
1.0,27,0.0,0.0,0,0,0,3,46.0,1.0,431.0,0
0.0,31,0.0,3.0,0,0,0,0,1.0,1.0,44.0,0
1.0,23,2.0,3.0,0,0,1,1,1.0,0.0,436.0,1
0.0,23,2.0,2.0,0,0,4,5,1.0,0.0,436.0,1
1.0,24,2.0,3.0,0,0,0,0,3.0,1.0,287.0,1
1.0,29,0.0,0.0,0,0,0,1,1.0,1.0,44.0,0
1.0,20,2.0,0.0,0,0,0,1,1.0,0.0,71.0,1
1.0,30,0.0,0.0,0,0,0,2,1.0,0.0,71.0,1
1.0,39,0.0,5.0,0,0,0,0,1.0,0.0,389.0,0
1.0,27,0.0,0.0,0,0,0,4,1.0,0.0,436.0,0
1.0,31,0.0,2.0,0,0,0,2,389.0,1.0,436.0,0
0.0,37,0.0,0.0,0,0,0,2,0.0,0.0,436.0,0
1.0,20,2.0,0.0,0,0,0,0,1.0,0.0,296.0,1
1.0,22,2.0,3.0,0,0,1,0,0.0,0.0,284.0,1
0.0,52,1.0,0.0,0,0,0,0,1.0,0.0,58.0,0
0.0,23,2.0,0.0,0,0,0,0,1.0,0.0,71.0,0
0.0,48,1.0,0.0,0,0,0,0,1.0,0.0,14.0,0
1.0,66,1.0,0.0,0,0,0,8,326.0,0.0,125.0,1
1.0,25,0.0,2.0,0,0,0,0,1.0,0.0,121.0,1
1.0,27,0.0,2.0,0,0,0,0,1.0,0.0,194.0,1
1.0,30,0.0,0.0,0,0,0,11,0.0,0.0,409.0,1
1.0,22,2.0,0.0,0,1,1,3,1.0,1.0,44.0,1
0.0,22,2.0,2.0,0,0,0,1,1.0,0.0,250.0,0
1.0,35,0.0,0.0,0,0,0,2,1.0,0.0,436.0,1
1.0,32,0.0,2.0,0,0,0,2,201.0,0.0,436.0,0
0.0,41,0.0,0.0,0,0,0,2,1.0,1.0,50.0,0
0.0,25,0.0,5.0,0,0,0,0,1.0,0.0,14.0,0
1.0,44,0.0,0.0,0,0,0,24,31.0,1.0,245.0,1
1.0,52,1.0,0.0,0,0,0,3,1.0,0.0,318.0,1
1.0,43,0.0,0.0,0,0,0,0,1.0,0.0,171.0,0
1.0,37,0.0,2.0,0,0,0,3,4.0,0.0,436.0,0
1.0,28,0.0,0.0,0,0,0,3,100.0,1.0,287.0,0
1.0,70,1.0,2.0,0,0,0,1,13.0,1.0,44.0,0
1.0,54,1.0,2.0,0,0,0,6,253.0,0.0,318.0,0
1.0,46,1.0,2.0,0,0,0,3,1.0,0.0,436.0,0
1.0,21,2.0,0.0,0,0,0,0,1.0,1.0,247.0,1
1.0,26,0.0,0.0,0,0,0,1,1.0,1.0,44.0,1
1.0,38,0.0,3.0,0,0,0,3,82.0,0.0,90.0,0
1.0,34,0.0,2.0,0,0,0,5,1.0,1.0,44.0,0
1.0,19,2.0,0.0,0,0,0,1,48.0,0.0,194.0,1
1.0,34,0.0,0.0,0,0,0,5,1.0,1.0,139.0,0
1.0,23,2.0,2.0,0,0,0,0,1.0,0.0,14.0,1
1.0,34,0.0,0.0,0,0,0,5,1.0,0.0,326.0,0
1.0,30,0.0,0.0,0,0,0,2,83.0,0.0,436.0,0
1.0,39,0.0,0.0,0,0,0,6,1.0,0.0,21.0,0
1.0,24,2.0,5.0,0,0,0,0,1.0,0.0,158.0,0
1.0,33,0.0,2.0,0,0,0,1,93.0,1.0,140.0,0
1.0,58,1.0,2.0,0,0,0,2,1.0,0.0,7.0,0
0.0,21,2.0,0.0,0,0,0,0,0.0,1.0,44.0,1
1.0,21,2.0,0.0,0,0,0,1,36.0,0.0,41.0,1
1.0,23,2.0,0.0,0,0,1,4,11.0,1.0,287.0,1
1.0,62,1.0,2.0,0,0,0,0,0.0,0.0,161.0,0
1.0,27,0.0,0.0,1,0,1,4,357.0,1.0,287.0,1
1.0,37,0.0,2.0,0,0,0,5,1.0,0.0,50.0,0
1.0,43,0.0,5.0,0,0,0,2,1.0,0.0,194.0,0
0.0,32,0.0,0.0,0,0,0,5,2.0,0.0,9.0,0
1.0,23,2.0,3.0,0,0,0,0,1.0,0.0,58.0,0
1.0,27,0.0,0.0,0,0,0,0,1.0,1.0,44.0,0
1.0,44,0.0,2.0,0,0,0,0,1.0,1.0,44.0,0
1.0,28,0.0,2.0,0,0,0,3,1.0,1.0,44.0,0
0.0,42,0.0,2.0,0,0,0,0,3.0,0.0,318.0,0
1.0,24,2.0,5.0,0,1,0,9,1.0,0.0,341.0,1
1.0,27,0.0,0.0,0,0,0,0,0.0,0.0,9.0,0
1.0,20,2.0,0.0,0,0,0,0,1.0,0.0,188.0,1
0.0,51,1.0,2.0,0,0,0,0,1.0,1.0,50.0,0
1.0,56,1.0,2.0,0,0,0,0,1.0,1.0,48.0,0
1.0,29,0.0,0.0,0,0,0,7,1.0,0.0,436.0,1
1.0,20,2.0,0.0,0,0,0,0,1.0,0.0,194.0,1
1.0,53,1.0,2.0,0,0,0,6,163.0,0.0,436.0,0
1.0,27,0.0,2.0,0,0,0,8,1.0,0.0,436.0,1
1.0,24,2.0,0.0,0,1,0,2,1.0,0.0,64.0,1
1.0,53,1.0,2.0,0,0,0,36,7.0,0.0,85.0,1
1.0,28,0.0,2.0,0,0,0,2,1.0,1.0,44.0,0
1.0,45,1.0,0.0,0,0,0,1,1.0,0.0,90.0,0
1.0,21,2.0,3.0,0,1,0,3,22.0,0.0,194.0,1
0.0,36,0.0,0.0,0,0,0,0,1.0,0.0,9.0,1
0.0,25,0.0,2.0,0,0,0,2,2.0,1.0,247.0,0
0.0,23,2.0,3.0,0,0,0,1,1.0,1.0,243.0,0
1.0,28,0.0,2.0,0,0,0,1,4.0,0.0,250.0,1
0.0,21,2.0,0.0,0,0,0,0,1.0,0.0,349.0,1
1.0,36,0.0,2.0,0,0,0,0,1.0,1.0,428.0,0
1.0,24,2.0,0.0,0,0,0,0,1.0,0.0,194.0,0
1.0,28,0.0,0.0,0,0,0,3,375.0,0.0,436.0,1
1.0,30,0.0,5.0,0,0,0,1,1.0,0.0,436.0,0
1.0,29,0.0,0.0,0,0,0,0,1.0,0.0,14.0,0
0.0,30,0.0,2.0,0,0,0,0,1.0,1.0,44.0,1
1.0,51,1.0,3.0,0,0,0,1,2.0,1.0,30.0,0
1.0,33,0.0,5.0,0,0,0,3,94.0,0.0,171.0,0
0.0,25,0.0,0.0,0,0,0,2,86.0,0.0,436.0,1
1.0,32,0.0,0.0,0,1,0,12,1.0,0.0,436.0,1
1.0,23,2.0,0.0,0,0,1,1,1.0,0.0,194.0,1
1.0,47,1.0,0.0,0,0,0,3,0.0,0.0,296.0,0
0.0,32,0.0,3.0,0,0,0,1,80.0,0.0,318.0,0
1.0,37,0.0,2.0,0,0,0,0,0.0,0.0,183.0,0
1.0,19,2.0,0.0,0,2,0,2,1.0,0.0,268.0,1
1.0,27,0.0,3.0,0,0,0,0,1.0,1.0,44.0,1
1.0,39,0.0,5.0,0,0,0,0,1.0,1.0,44.0,0
0.0,21,2.0,2.0,0,0,2,0,0.0,0.0,318.0,1
1.0,69,1.0,2.0,0,0,0,0,1.0,1.0,15.0,0
1.0,21,2.0,2.0,0,0,0,2,1.0,0.0,436.0,1
1.0,26,0.0,0.0,0,0,1,6,0.0,1.0,44.0,1
1.0,22,2.0,2.0,0,0,0,0,3.0,0.0,318.0,0
0.0,23,2.0,0.0,0,0,0,0,1.0,0.0,141.0,1
1.0,49,1.0,0.0,0,0,0,3,1.0,0.0,188.0,1
1.0,29,0.0,0.0,0,0,1,2,1.0,1.0,44.0,0
0.0,60,1.0,2.0,0,0,0,0,1.0,1.0,44.0,0
0.0,26,0.0,0.0,0,0,0,0,,1.0,,1
1.0,23,2.0,0.0,2,0,0,3,1.0,0.0,284.0,1
1.0,34,0.0,3.0,0,0,0,2,226.0,1.0,436.0,1
0.0,20,2.0,5.0,1,0,0,1,21.0,0.0,436.0,0
1.0,36,0.0,3.0,0,0,0,1,1.0,0.0,178.0,0
1.0,30,0.0,2.0,0,0,0,0,1.0,0.0,318.0,0
1.0,21,2.0,0.0,0,1,0,1,2.0,0.0,194.0,0
1.0,22,2.0,2.0,0,0,0,2,1.0,1.0,287.0,1
1.0,57,1.0,0.0,0,0,0,18,460.0,0.0,436.0,1
1.0,21,2.0,0.0,0,0,0,4,0.0,0.0,436.0,1
1.0,21,2.0,0.0,0,0,0,0,1.0,0.0,64.0,1
1.0,34,0.0,2.0,0,0,0,1,0.0,1.0,44.0,0
0.0,50,1.0,2.0,0,0,0,1,1.0,1.0,44.0,0
1.0,40,0.0,2.0,0,0,0,0,1.0,0.0,436.0,1
1.0,25,0.0,0.0,0,0,0,7,1.0,0.0,382.0,1
0.0,53,1.0,2.0,0,0,0,1,1.0,1.0,44.0,0
0.0,24,2.0,0.0,0,0,0,0,1.0,0.0,14.0,0
1.0,42,0.0,0.0,0,0,0,1,13.0,0.0,436.0,0
1.0,28,0.0,0.0,0,0,0,1,1.0,1.0,44.0,0
1.0,24,2.0,2.0,0,0,0,1,37.0,1.0,136.0,0
1.0,26,0.0,0.0,1,1,0,6,1.0,0.0,347.0,1
1.0,22,2.0,0.0,0,0,0,4,1.0,0.0,194.0,1
