sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
Male,Greater than 45,African-American,0,0,0,12,804.0,M,Possess Cannabis/20 Grams Or Less,1
Female,Less than 25,Caucasian,0,0,0,0,1.0,F,"Poss3,4 Methylenedioxymethcath",1
Male,25 - 45,Caucasian,0,0,0,2,3.0,F,Possession Of Alprazolam,0
Male,Greater than 45,Caucasian,0,0,0,3,64.0,F,Flee/Elude LEO-Agg Flee Unsafe,0
Female,Greater than 45,Caucasian,0,0,0,0,1.0,M,DUI Level 0.15 Or Minor In Veh,0
Female,25 - 45,Hispanic,0,0,0,0,2.0,M,Battery,0
Male,Less than 25,African-American,0,0,0,1,10.0,M,Battery,0
Male,Less than 25,African-American,0,0,0,1,137.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,1,1.0,F,Fail To Redeliv Hire/Leas Prop,0
Female,25 - 45,Caucasian,0,0,0,0,1.0,F,Aggravated Assault W/Dead Weap,0
Male,Less than 25,Caucasian,0,1,2,8,0.0,F,False Ownership Info/Pawn Item,1
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,Possession Of Methamphetamine,0
Male,25 - 45,Caucasian,0,0,0,0,1.0,M,Battery,1
Female,25 - 45,Caucasian,0,0,0,1,1.0,F,Possession of Morphine,0
Male,Greater than 45,African-American,0,0,0,14,265.0,F,arrest case no charge,2
Male,25 - 45,Caucasian,0,0,0,1,30.0,F,Possession of Cocaine,0
Male,Less than 25,African-American,0,0,0,3,1.0,F,Grand Theft in the 3rd Degree,2
Male,25 - 45,Caucasian,0,0,0,5,1.0,M,Possess Cannabis/20 Grams Or Less,0
Male,25 - 45,Caucasian,0,0,0,0,0.0,F,Aggravated Assault w/Firearm,1
Male,25 - 45,African-American,0,0,0,5,1.0,F,Poss Contr Subst W/o Prescript,1
Male,25 - 45,African-American,0,0,0,3,0.0,F,"Poss3,4 Methylenedioxymethcath",0
Male,25 - 45,Caucasian,0,0,0,1,1.0,F,Aggrav Stalking After Injunctn,0
Male,25 - 45,African-American,0,1,0,10,0.0,F,Possession of Cocaine,2
Male,Less than 25,African-American,0,0,0,0,1.0,F,Uttering a Forged Instrument,0
Male,25 - 45,African-American,0,12,2,28,1.0,F,Driving While License Revoked,2
Male,25 - 45,African-American,0,0,0,1,1.0,M,Battery,1
Female,25 - 45,Other,0,0,0,1,1.0,F,Crim Use of Personal ID Info,0
Male,25 - 45,Caucasian,0,0,0,13,0.0,F,arrest case no charge,2
Male,25 - 45,African-American,0,0,0,3,1.0,F,Possession of Cocaine,2
Male,Greater than 45,African-American,0,0,0,8,79.0,F,arrest case no charge,2
Male,Greater than 45,Caucasian,0,0,0,3,2.0,M,Battery,2
Male,25 - 45,African-American,0,0,0,19,1.0,F,arrest case no charge,2
Female,Greater than 45,Caucasian,0,0,0,2,48.0,M,Resist/Obstruct W/O Violence,0
Male,Less than 25,Caucasian,0,0,0,4,36.0,F,Possession Of Alprazolam,1
Male,25 - 45,Caucasian,0,0,0,6,5.0,F,Possession Of Alprazolam,0
Female,25 - 45,Caucasian,0,0,0,2,1.0,F,arrest case no charge,0
Male,25 - 45,Caucasian,0,0,0,1,20.0,M,Agg Fleeing and Eluding,0
Male,25 - 45,Caucasian,0,0,0,2,161.0,F,arrest case no charge,0
Female,25 - 45,Other,0,0,0,2,222.0,M,Petit Theft,0
Male,25 - 45,Caucasian,0,0,0,0,1.0,M,Disorderly Intoxication,0
Female,Less than 25,African-American,0,0,0,0,1.0,M,Battery,0
Female,25 - 45,Caucasian,0,1,0,10,1.0,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,Caucasian,0,0,0,2,1.0,M,Battery,0
Female,25 - 45,Hispanic,0,0,0,4,36.0,F,Battery on Law Enforc Officer,1
Male,25 - 45,African-American,0,0,0,3,1.0,F,Possession of Cocaine,1
Male,25 - 45,Caucasian,0,0,0,2,16.0,M,Resist/Obstruct W/O Violence,0
Male,25 - 45,African-American,0,0,0,1,1.0,M,Lewdness Violation,0
Male,Greater than 45,Caucasian,0,0,0,1,1.0,F,Possession of Cocaine,0
Female,Greater than 45,Caucasian,0,0,0,4,375.0,F,arrest case no charge,0
Female,Less than 25,African-American,1,0,0,1,0.0,F,arrest case no charge,2
Female,25 - 45,Caucasian,0,0,0,0,0.0,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,1,1,0,9,1.0,F,Possession of Cocaine,2
Male,25 - 45,African-American,0,0,0,11,2.0,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,African-American,0,0,0,8,1.0,M,Assault,1
Female,25 - 45,African-American,0,0,0,0,1.0,F,Possession of Oxycodone,0
Female,25 - 45,African-American,0,0,0,7,1.0,F,Possession of Cocaine,2
Male,25 - 45,African-American,0,0,0,2,1.0,F,Tampering With Physical Evidence,2
Female,Less than 25,African-American,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,1
Female,25 - 45,Caucasian,0,0,0,0,2.0,M,Fail To Obey Police Officer,1
Female,Greater than 45,African-American,0,0,0,1,1.0,F,Solicit Purchase Cocaine,0
Male,Greater than 45,Other,0,0,0,13,1.0,F,Felony Petit Theft,1
Male,Greater than 45,Hispanic,0,0,0,1,26.0,F,arrest case no charge,0
Female,25 - 45,African-American,0,0,0,4,7.0,F,arrest case no charge,2
Male,25 - 45,Hispanic,0,0,0,1,1.0,F,Grand Theft in the 3rd Degree,0
Female,Greater than 45,Other,0,0,0,1,72.0,F,Grand Theft in the 1st Degree,0
Female,25 - 45,African-American,0,0,0,2,1.0,M,Driving Under The Influence,0
Male,Greater than 45,African-American,0,0,0,3,52.0,M,Battery,0
Male,25 - 45,Caucasian,1,0,0,1,1672.0,M,,0
Female,25 - 45,Caucasian,0,0,0,3,1.0,F,Possession Of Carisoprodol,1
Male,25 - 45,African-American,0,0,0,1,1.0,F,Burglary Conveyance Assault/Bat,1
Male,Greater than 45,Caucasian,0,0,0,2,1.0,M,Battery,0
Male,Less than 25,African-American,0,0,0,1,1.0,F,arrest case no charge,0
Male,Greater than 45,Caucasian,0,0,0,6,31.0,F,Driving While License Revoked,0
Female,Greater than 45,Caucasian,0,0,0,6,56.0,F,Crim Use of Personal ID Info,1
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,"Deliver 3,4 Methylenediox",1
Male,25 - 45,African-American,0,0,0,1,1.0,M,Battery,0
Male,Less than 25,Hispanic,0,0,0,0,2.0,F,"Poss3,4 Methylenedioxymethcath",0
Female,25 - 45,African-American,0,0,0,5,1.0,F,Aggravated Assault W/dead Weap,1
Male,Greater than 45,Hispanic,0,0,0,2,1.0,M,Leave Acc/Attend Veh/More $50,0
Male,Greater than 45,African-American,0,0,0,8,1.0,F,Possession of Cocaine,0
Female,25 - 45,Caucasian,0,0,0,6,111.0,F,Possession of Cocaine,2
Male,Greater than 45,Caucasian,0,0,0,1,45.0,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,Hispanic,0,0,0,8,61.0,F,arrest case no charge,2
Male,25 - 45,African-American,0,0,0,6,1.0,M,Resist/Obstruct W/O Violence,1
Male,Greater than 45,Hispanic,0,0,0,2,1.0,F,Burglary Unoccupied Dwelling,0
Male,Greater than 45,Hispanic,0,0,0,0,1.0,F,Possession Of Heroin,0
Male,Greater than 45,Caucasian,0,0,0,1,1.0,M,Driving Under The Influence,0
Male,Greater than 45,Caucasian,0,0,0,0,1.0,F,Possession of Cocaine,0
Male,Less than 25,Other,0,0,0,0,1.0,F,Burglary Unoccupied Dwelling,0
Male,25 - 45,African-American,2,2,1,22,35.0,F,Child Abuse,2
Male,Less than 25,African-American,0,0,0,1,1.0,F,Pos Cannabis W/Intent Sel/Del,1
Male,Greater than 45,African-American,0,0,0,23,1.0,M,Possess Cannabis/20 Grams Or Less,2
Male,Less than 25,African-American,0,0,0,0,1.0,M,Battery,0
Male,Greater than 45,Hispanic,0,0,0,1,0.0,F,Driving While License Revoked,0
Female,25 - 45,Caucasian,0,0,0,2,35.0,F,Possession of Cocaine,1
Male,Greater than 45,African-American,0,0,0,3,10.0,F,Agg Battery Grt/Bod/Harm,0
Male,Greater than 45,Caucasian,0,0,0,8,0.0,M,Viol Injunct Domestic Violence,0
Female,Greater than 45,Other,0,0,0,0,,M,,0
Male,25 - 45,African-American,0,0,0,13,1.0,F,Poss Cocaine/Intent To Del/Sel,2
Male,25 - 45,African-American,0,0,0,2,0.0,M,Battery,2
Male,25 - 45,Caucasian,0,0,0,0,0.0,F,Possession Of Methamphetamine,0
Male,25 - 45,African-American,0,0,0,9,1.0,F,Deliver Cocaine,2
Male,Greater than 45,Caucasian,0,0,0,2,1.0,F,Lewd or Lascivious Molestation,0
Male,Less than 25,African-American,0,0,0,0,1.0,F,Possession of Cannabis,0
Male,25 - 45,African-American,0,0,0,2,1.0,M,Battery,0
Female,Less than 25,African-American,0,0,0,1,1.0,M,Battery,0
Male,25 - 45,Other,0,0,0,2,1.0,M,Battery,0
Male,Greater than 45,Caucasian,0,0,0,1,4.0,F,Sexual Performance by a Child,0
Female,25 - 45,Caucasian,0,0,0,0,1.0,M,Leaving Acc/Unattended Veh,0
Male,25 - 45,Caucasian,0,0,0,4,0.0,M,Battery,0
Female,25 - 45,African-American,0,1,0,23,1.0,F,Felony Petit Theft,2
Male,Less than 25,Other,0,0,0,5,1.0,F,arrest case no charge,1
Male,25 - 45,African-American,0,0,0,2,1.0,F,Fleeing Or Attmp Eluding A Leo,2
Male,25 - 45,African-American,0,0,0,0,1.0,M,Criminal Mischief,0
Female,25 - 45,African-American,0,0,0,0,1.0,F,Aggrav Battery w/Deadly Weapon,2
Male,25 - 45,Caucasian,0,0,0,11,56.0,F,arrest case no charge,1
Female,25 - 45,Caucasian,0,0,0,7,1.0,F,Felony Petit Theft,2
Male,25 - 45,African-American,0,0,0,2,1.0,F,Driving While License Revoked,0
Male,25 - 45,Caucasian,0,0,0,2,36.0,M,Trespass Struct/Conveyance,0
Female,25 - 45,African-American,0,0,0,1,1.0,F,arrest case no charge,2
Male,Greater than 45,Caucasian,0,0,0,7,1.0,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,0,0,0,15,1.0,F,Possession of Cocaine,2
Male,25 - 45,African-American,0,0,0,2,2147.0,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,African-American,0,0,0,3,23.0,F,arrest case no charge,1
Male,25 - 45,Hispanic,0,0,0,0,5.0,M,DUI Property Damage/Injury,0
Male,Greater than 45,Caucasian,0,0,0,1,34.0,F,arrest case no charge,0
Female,Greater than 45,Caucasian,0,0,0,0,1.0,M,Driving Under The Influence,0
Male,Greater than 45,Caucasian,0,0,0,0,1.0,M,Battery,0
Male,25 - 45,Other,0,0,0,1,1.0,M,Possess Cannabis/20 Grams Or Less,0
Male,Greater than 45,African-American,0,0,0,0,1.0,F,Aggravated Battery (Firearm/Actual Possession),0
Male,25 - 45,Caucasian,0,0,0,4,0.0,F,arrest case no charge,0
Female,25 - 45,African-American,0,0,0,2,1.0,F,Grand Theft in the 3rd Degree,1
Female,25 - 45,African-American,0,0,0,5,1.0,M,Battery,1
Male,25 - 45,African-American,0,0,0,11,1.0,F,Robbery / No Weapon,2
Male,25 - 45,African-American,0,0,0,0,1.0,M,Battery,0
Male,25 - 45,Other,0,0,0,4,1.0,F,Aggravated Assault w/Firearm,0
Male,Greater than 45,African-American,0,0,0,11,1.0,F,Grand Theft (Motor Vehicle),2
Male,Less than 25,African-American,0,0,0,2,1.0,F,Robbery / Weapon,2
Female,25 - 45,African-American,0,0,0,2,227.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,0,0.0,M,Battery,0
Male,Greater than 45,Caucasian,0,0,0,0,1.0,F,Burglary With Assault/battery,0
Male,25 - 45,Caucasian,0,0,0,13,1.0,F,Driving While License Revoked,0
Male,Greater than 45,African-American,0,0,0,0,1.0,F,Uttering a Forged Instrument,0
Male,25 - 45,Caucasian,0,0,0,1,3.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,2,11,1.0,M,Battery,2
Male,25 - 45,Caucasian,0,0,0,1,0.0,F,Criminal Mischief,1
Male,Less than 25,African-American,0,0,0,0,1.0,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,0,0,0,4,0.0,F,Driving While License Revoked,0
Male,25 - 45,Hispanic,0,0,0,4,0.0,F,Possession of Cannabis,0
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,Burglary Unoccupied Dwelling,2
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,0,1,0,14,1.0,F,Aggravated Battery / Pregnant,2
Male,25 - 45,African-American,0,1,0,4,1562.0,M,Possess Cannabis/20 Grams Or Less,2
Male,Greater than 45,Caucasian,0,0,0,1,1.0,M,Battery,0
Male,25 - 45,African-American,0,0,0,25,70.0,F,arrest case no charge,2
Male,25 - 45,Caucasian,0,0,0,8,1.0,M,Battery,1
Male,25 - 45,African-American,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,Caucasian,0,0,1,1,0.0,M,Voyeurism,2
Female,25 - 45,Other,0,0,0,0,2.0,M,Battery,0
Female,25 - 45,Other,0,0,0,3,1.0,F,Driving While License Revoked,0
Male,25 - 45,Caucasian,0,0,0,8,0.0,F,Felony Driving While Lic Suspd,1
Male,25 - 45,Caucasian,0,0,0,4,140.0,F,False Imprisonment,0
Male,Less than 25,African-American,0,0,0,3,208.0,M,Prowling/Loitering,2
Female,Less than 25,Caucasian,0,0,0,1,32.0,M,Battery,1
Male,25 - 45,African-American,0,0,0,3,46.0,M,Viol Prot Injunc Repeat Viol,0
Female,25 - 45,Hispanic,0,0,0,0,1.0,M,Battery,0
Male,Less than 25,Hispanic,0,0,1,1,1.0,F,arrest case no charge,1
Female,Less than 25,Caucasian,0,0,4,5,1.0,F,arrest case no charge,1
Male,Less than 25,Hispanic,0,0,0,0,3.0,M,Possess Cannabis/20 Grams Or Less,2
Male,25 - 45,African-American,0,0,0,1,1.0,M,Battery,0
Male,Less than 25,African-American,0,0,0,1,1.0,F,Carrying Concealed Firearm,2
Male,25 - 45,African-American,0,0,0,2,1.0,F,Carrying Concealed Firearm,1
Male,25 - 45,Other,0,0,0,0,1.0,F,Throw In Occupied Dwell,0
Male,25 - 45,African-American,0,0,0,4,1.0,F,arrest case no charge,0
Male,25 - 45,Caucasian,0,0,0,2,1016.0,M,arrest case no charge,0
Female,25 - 45,African-American,0,0,0,2,0.0,F,arrest case no charge,0
Male,Less than 25,African-American,0,0,0,0,1.0,F,Possession Burglary Tools,2
Male,Less than 25,Hispanic,0,0,1,0,0.0,F,"Poss3,4 Methylenedioxymethcath",1
Female,Greater than 45,African-American,0,0,0,0,1.0,F,Burglary Conveyance Unoccup,0
Female,Less than 25,African-American,0,0,0,0,1.0,F,Carrying Concealed Firearm,0
Female,Greater than 45,African-American,0,0,0,0,1.0,F,Aggravated Assault W/Dead Weap,0
Male,Greater than 45,African-American,0,0,0,8,562.0,F,Deliver Cocaine,1
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,"Deliver 3,4 Methylenediox",1
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,0,0,0,11,0.0,F,Unauth Poss ID Card or DL,1
Male,Less than 25,African-American,0,1,1,3,1.0,M,Battery,2
Female,Less than 25,Caucasian,0,0,0,1,1.0,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,0,0,0,2,1.0,F,arrest case no charge,2
Male,25 - 45,Caucasian,0,0,0,2,232.0,F,arrest case no charge,0
Female,25 - 45,African-American,0,0,0,2,1.0,M,Battery on Law Enforc Officer,0
Female,25 - 45,Other,0,0,0,0,1.0,F,Aggravated Assault W/Dead Weap,0
Male,25 - 45,African-American,0,0,0,24,31.0,M,Opert With Susp DL 2nd Offens,1
Male,Greater than 45,African-American,0,0,0,3,1.0,F,Possession of Cocaine,1
Male,25 - 45,African-American,0,0,0,0,1.0,F,Felony Battery (Dom Strang),0
Male,25 - 45,Caucasian,0,0,0,3,4.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,3,100.0,M,Possess Cannabis/20 Grams Or Less,0
Male,Greater than 45,Caucasian,0,0,0,1,13.0,M,Battery,0
Male,Greater than 45,Caucasian,0,0,0,6,322.0,F,Possession of Cocaine,0
Male,Greater than 45,Caucasian,0,0,0,3,1.0,F,arrest case no charge,0
Male,Less than 25,African-American,0,0,0,0,1.0,M,Petit Theft,2
Male,25 - 45,African-American,0,0,0,1,1.0,M,Battery,2
Male,25 - 45,Hispanic,0,0,0,3,82.0,F,Crim Use of Personal ID Info,0
Male,25 - 45,Caucasian,0,0,0,5,1.0,M,Battery,0
Male,Less than 25,African-American,0,0,0,1,48.0,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,0,0,0,5,1.0,M,Driving License Suspended,0
Male,Less than 25,Caucasian,0,0,0,0,1.0,F,Aggravated Assault W/Dead Weap,1
Male,25 - 45,African-American,0,0,0,5,1.0,F,Possession of Oxycodone,0
Male,25 - 45,African-American,0,0,0,2,83.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,6,1.0,F,Aggravated Battery / Pregnant,0
Male,Less than 25,Other,0,0,0,0,1.0,F,Failure To Return Hired Vehicle,0
Male,25 - 45,Caucasian,0,0,0,1,93.0,M,Driving Under The Influence,0
Male,Greater than 45,Caucasian,0,0,0,2,1.0,F,Agg Fleeing/Eluding High Speed,0
Female,Less than 25,African-American,0,0,0,0,0.0,M,Battery,1
Male,Less than 25,African-American,0,0,0,1,36.0,F,Attempted Robbery  No Weapon,1
Male,Less than 25,African-American,0,0,1,4,11.0,M,Possess Cannabis/20 Grams Or Less,2
Male,Greater than 45,Caucasian,0,0,0,0,0.0,F,False Imprisonment,0
Male,25 - 45,African-American,1,0,1,4,707.0,M,Possess Cannabis/20 Grams Or Less,2
Male,25 - 45,Caucasian,0,0,0,5,1.0,F,Battery on Law Enforc Officer,0
Male,25 - 45,Other,0,0,0,2,1.0,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,0,0,0,5,2.0,F,Aggrav Battery w/Deadly Weapon,0
Male,Less than 25,Hispanic,0,0,0,0,1.0,F,Burglary Conveyance Unoccup,0
Male,25 - 45,African-American,0,0,0,0,1.0,M,Battery,0
Male,25 - 45,Caucasian,0,0,0,0,1.0,M,Battery,0
Male,25 - 45,Caucasian,0,0,0,3,1.0,M,Battery,0
Female,25 - 45,Caucasian,0,0,0,0,3.0,F,Possession of Cocaine,0
Male,Less than 25,Other,0,1,0,9,1.0,F,Resist Officer w/Violence,2
Male,25 - 45,African-American,0,0,0,0,0.0,F,Aggrav Battery w/Deadly Weapon,0
Male,Less than 25,African-American,0,0,0,0,1.0,F,Grand Theft (Motor Vehicle),2
Female,Greater than 45,Caucasian,0,0,0,0,1.0,M,Battery on Law Enforc Officer,0
Male,Greater than 45,Caucasian,0,0,0,0,1.0,M,Battery On Parking Enfor Speci,0
Male,25 - 45,African-American,0,0,0,7,1.0,F,arrest case no charge,2
Male,Less than 25,African-American,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,2
Male,Greater than 45,Caucasian,0,0,0,6,176.0,F,arrest case no charge,0
Male,25 - 45,Caucasian,0,0,0,8,1.0,F,arrest case no charge,1
Male,Less than 25,African-American,0,1,0,2,1.0,F,Burglary Structure Unoccup,2
Male,Greater than 45,Caucasian,0,0,0,36,7.0,F,Corrupt Public Servant,1
Male,25 - 45,Caucasian,0,0,0,2,1.0,M,Battery,0
Male,Greater than 45,African-American,0,0,0,1,1.0,F,Crim Use of Personal ID Info,0
Male,Less than 25,Hispanic,0,1,0,3,22.0,F,Grand Theft in the 3rd Degree,1
Female,25 - 45,African-American,0,0,0,0,1.0,F,Aggrav Battery w/Deadly Weapon,1
